"Time","sum(kube_node_status_allocatable_memory_bytes{}) OR sum(kube_node_status_allocatable{resource=""memory"", unit=""byte""})"
2023-03-04 11:00:00,299013500928
2023-03-04 11:20:00,299013500928
2023-03-04 11:40:00,299013500928
2023-03-04 12:00:00,299013500928
2023-03-04 12:20:00,299013500928
2023-03-04 12:40:00,299013500928
2023-03-04 13:00:00,299013500928
2023-03-04 13:20:00,299013500928
2023-03-04 13:40:00,299013500928
2023-03-04 14:00:00,299013500928
2023-03-04 14:20:00,299013500928
2023-03-04 14:40:00,299013500928
2023-03-04 15:00:00,299013500928
2023-03-04 15:20:00,299013500928
2023-03-04 15:40:00,299013500928
2023-03-04 16:00:00,299013500928
2023-03-04 16:20:00,299013500928
2023-03-04 16:40:00,299013500928
2023-03-04 17:00:00,299013500928
2023-03-04 17:20:00,299013500928
2023-03-04 17:40:00,299013500928
2023-03-04 18:00:00,299013500928
2023-03-04 18:20:00,299013500928
2023-03-04 18:40:00,299013500928
2023-03-04 19:00:00,299013500928
2023-03-04 19:20:00,299013500928
2023-03-04 19:40:00,299013500928
2023-03-04 20:00:00,299013500928
2023-03-04 20:20:00,299013500928
2023-03-04 20:40:00,299013500928
2023-03-04 21:00:00,299013500928
2023-03-04 21:20:00,299013500928
2023-03-04 21:40:00,299013500928
2023-03-04 22:00:00,299013500928
2023-03-04 22:20:00,299013500928
2023-03-04 22:40:00,299013500928
2023-03-04 23:00:00,299013500928
2023-03-04 23:20:00,299013500928
2023-03-04 23:40:00,299013500928
2023-03-05 00:00:00,299013500928
2023-03-05 00:20:00,299013500928
2023-03-05 00:40:00,299013500928
2023-03-05 01:00:00,299013500928
2023-03-05 01:20:00,299013500928
2023-03-05 01:40:00,299013500928
2023-03-05 02:00:00,299013500928
2023-03-05 02:20:00,299013500928
2023-03-05 02:40:00,299013500928
2023-03-05 03:00:00,299013500928
2023-03-05 03:20:00,299013500928
2023-03-05 03:40:00,299013500928
2023-03-05 04:00:00,299013500928
2023-03-05 04:20:00,299013500928
2023-03-05 04:40:00,299013500928
2023-03-05 05:00:00,299013500928
2023-03-05 05:20:00,299013500928
2023-03-05 05:40:00,299013500928
2023-03-05 06:00:00,299013500928
2023-03-05 06:20:00,299013500928
2023-03-05 06:40:00,299013500928
2023-03-05 07:00:00,299013500928
2023-03-05 07:20:00,299013500928
2023-03-05 07:40:00,299013500928
2023-03-05 08:00:00,299013500928
2023-03-05 08:20:00,299013500928
2023-03-05 08:40:00,299013500928
2023-03-05 09:00:00,299013500928
2023-03-05 09:20:00,299013500928
2023-03-05 09:40:00,299013500928
2023-03-05 10:00:00,299013500928
2023-03-05 10:20:00,299013500928
2023-03-05 10:40:00,299013500928
2023-03-05 11:00:00,299013500928
2023-03-05 11:20:00,299013500928
2023-03-05 11:40:00,299013500928
2023-03-05 12:00:00,299013500928
2023-03-05 12:20:00,299013500928
2023-03-05 12:40:00,299013500928
2023-03-05 13:00:00,299013500928
2023-03-05 13:20:00,299013500928
2023-03-05 13:40:00,299013500928
2023-03-05 14:00:00,299013500928
2023-03-05 14:20:00,299013500928
2023-03-05 14:40:00,299013500928
2023-03-05 15:00:00,299013500928
2023-03-05 15:20:00,299013500928
2023-03-05 15:40:00,299013500928
2023-03-05 16:00:00,299013500928
2023-03-05 16:20:00,299013500928
2023-03-05 16:40:00,299013500928
2023-03-05 17:00:00,299013500928

