".+",".+"
2023-03-16 18:00:00,2.51 MB/s
2023-03-16 18:20:00,2.48 MB/s
2023-03-16 18:40:00,2.53 MB/s
2023-03-16 19:00:00,2.54 MB/s
2023-03-16 19:20:00,2.46 MB/s
2023-03-16 19:40:00,2.53 MB/s
2023-03-16 20:00:00,2.67 MB/s
2023-03-16 20:20:00,2.75 MB/s
2023-03-16 20:40:00,2.80 MB/s
2023-03-16 21:00:00,2.77 MB/s
2023-03-16 21:20:00,2.78 MB/s
2023-03-16 21:40:00,2.25 MB/s
2023-03-16 22:00:00,2.09 MB/s
2023-03-16 22:20:00,1.95 MB/s
2023-03-16 22:40:00,2.00 MB/s
2023-03-16 23:00:00,1.99 MB/s
2023-03-16 23:20:00,1.98 MB/s
2023-03-16 23:40:00,1.99 MB/s
2023-03-17 00:00:00,2.05 MB/s
2023-03-17 00:20:00,2.38 MB/s
2023-03-17 00:40:00,2.24 MB/s
2023-03-17 01:00:00,2.22 MB/s
2023-03-17 01:20:00,2.20 MB/s
2023-03-17 01:40:00,2.33 MB/s
2023-03-17 02:00:00,2.23 MB/s
2023-03-17 02:20:00,1.95 MB/s
2023-03-17 02:40:00,2.01 MB/s
2023-03-17 03:00:00,1.97 MB/s
2023-03-17 03:20:00,1.93 MB/s
2023-03-17 03:40:00,2.01 MB/s
2023-03-17 04:00:00,1.94 MB/s
2023-03-17 04:20:00,2.07 MB/s
2023-03-17 04:40:00,2.24 MB/s
2023-03-17 05:00:00,2.23 MB/s
2023-03-17 05:20:00,2.22 MB/s
2023-03-17 05:40:00,2.33 MB/s
2023-03-17 06:00:00,2.29 MB/s
2023-03-17 06:20:00,2.21 MB/s
2023-03-17 06:40:00,2.03 MB/s
2023-03-17 07:00:00,1.95 MB/s
2023-03-17 07:20:00,1.92 MB/s
2023-03-17 07:40:00,1.98 MB/s
2023-03-17 08:00:00,1.99 MB/s
2023-03-17 08:20:00,2.06 MB/s
2023-03-17 08:40:00,1.97 MB/s
2023-03-17 09:00:00,2.20 MB/s
2023-03-17 09:20:00,2.25 MB/s
2023-03-17 09:40:00,2.24 MB/s
2023-03-17 10:00:00,2.20 MB/s
2023-03-17 10:20:00,2.22 MB/s
2023-03-17 10:40:00,2.26 MB/s
2023-03-17 11:00:00,2.21 MB/s
2023-03-17 11:20:00,1.95 MB/s
2023-03-17 11:40:00,1.97 MB/s
2023-03-17 12:00:00,1.99 MB/s
2023-03-17 12:20:00,1.92 MB/s
2023-03-17 12:40:00,1.99 MB/s
2023-03-17 13:00:00,2.01 MB/s
2023-03-17 13:20:00,2.25 MB/s
2023-03-17 13:40:00,2.24 MB/s
2023-03-17 14:00:00,2.24 MB/s
2023-03-17 14:20:00,2.25 MB/s
2023-03-17 14:40:00,2.23 MB/s
2023-03-17 15:00:00,2.20 MB/s
2023-03-17 15:20:00,1.96 MB/s
2023-03-17 15:40:00,2.13 MB/s
2023-03-17 16:00:00,1.99 MB/s
2023-03-17 16:20:00,2.02 MB/s
2023-03-17 16:40:00,1.96 MB/s
2023-03-17 17:00:00,2.09 MB/s
2023-03-17 17:20:00,2.04 MB/s
2023-03-17 17:40:00,2.22 MB/s
2023-03-17 18:00:00,2.21 MB/s
2023-03-17 18:20:00,2.23 MB/s
2023-03-17 18:40:00,2.24 MB/s
2023-03-17 19:00:00,2.24 MB/s
2023-03-17 19:20:00,2.17 MB/s
2023-03-17 19:40:00,2.04 MB/s
2023-03-17 20:00:00,1.94 MB/s
2023-03-17 20:20:00,2.03 MB/s
2023-03-17 20:40:00,2.01 MB/s
2023-03-17 21:00:00,2.00 MB/s
2023-03-17 21:20:00,1.97 MB/s
2023-03-17 21:40:00,2.33 MB/s
2023-03-17 22:00:00,2.20 MB/s
2023-03-17 22:20:00,2.22 MB/s
2023-03-17 22:40:00,2.27 MB/s
2023-03-17 23:00:00,2.19 MB/s
2023-03-17 23:20:00,2.20 MB/s
2023-03-17 23:40:00,1.98 MB/s
2023-03-18 00:00:00,1.96 MB/s

