"Time","POST "
2023-03-16 18:00:00,0.0244
2023-03-16 18:04:00,0.0244
2023-03-16 18:08:00,0.0244
2023-03-16 18:12:00,0.0237
2023-03-16 18:16:00,0.0236
2023-03-16 18:20:00,0.0242
2023-03-16 18:24:00,0.0241
2023-03-16 18:28:00,0.0244
2023-03-16 18:32:00,0.0244
2023-03-16 18:36:00,0.0241
2023-03-16 18:40:00,0.0242
2023-03-16 18:44:00,0.0243
2023-03-16 18:48:00,0.0243
2023-03-16 18:52:00,0.0244
2023-03-16 18:56:00,0.0595
2023-03-16 19:00:00,0.0243
2023-03-16 19:04:00,0.0235
2023-03-16 19:08:00,0.0243
2023-03-16 19:12:00,0.0240
2023-03-16 19:16:00,0.0237
2023-03-16 19:20:00,0.0244
2023-03-16 19:24:00,0.0243
2023-03-16 19:28:00,0.0242
2023-03-16 19:32:00,0.0243
2023-03-16 19:36:00,0.0243
2023-03-16 19:40:00,0.0244
2023-03-16 19:44:00,0.0244
2023-03-16 19:48:00,0.0244
2023-03-16 19:52:00,0.0240
2023-03-16 19:56:00,0.0242
2023-03-16 20:00:00,0.0595
2023-03-16 20:04:00,0.0244
2023-03-16 20:08:00,0.0243
2023-03-16 20:12:00,0.0244
2023-03-16 20:16:00,0.0240
2023-03-16 20:20:00,0.0241
2023-03-16 20:24:00,0.0243
2023-03-16 20:28:00,0.0243
2023-03-16 20:32:00,0.0244
2023-03-16 20:36:00,0.0245
2023-03-16 20:40:00,0.0245
2023-03-16 20:44:00,0.0238
2023-03-16 20:48:00,0.0243
2023-03-16 20:52:00,0.0245
2023-03-16 20:56:00,0.0241
2023-03-16 21:00:00,0.0242
2023-03-16 21:04:00,0.0242
2023-03-16 21:08:00,0.0243
2023-03-16 21:12:00,0.0240
2023-03-16 21:16:00,0.0618
2023-03-16 21:20:00,0.0580
2023-03-16 21:24:00,0.0240
2023-03-16 21:28:00,0.0239
2023-03-16 21:32:00,0.0237
2023-03-16 21:36:00,0.0244
2023-03-16 21:40:00,0.0241
2023-03-16 21:44:00,0.0243
2023-03-16 21:48:00,0.0242
2023-03-16 21:52:00,0.0242
2023-03-16 21:56:00,0.0240
2023-03-16 22:00:00,0.0244
2023-03-16 22:04:00,0.0245
2023-03-16 22:08:00,0.0245
2023-03-16 22:12:00,0.0244
2023-03-16 22:16:00,0.0241
2023-03-16 22:20:00,0.0238
2023-03-16 22:24:00,0.0242
2023-03-16 22:28:00,0.0241
2023-03-16 22:32:00,0.0244
2023-03-16 22:36:00,0.0243
2023-03-16 22:40:00,0.0243
2023-03-16 22:44:00,0.0240
2023-03-16 22:48:00,0.0242
2023-03-16 22:52:00,0.0244
2023-03-16 22:56:00,0.0542
2023-03-16 23:00:00,0.0242
2023-03-16 23:04:00,0.0240
2023-03-16 23:08:00,0.0723
2023-03-16 23:12:00,0.0241
2023-03-16 23:16:00,0.0242
2023-03-16 23:20:00,0.0244
2023-03-16 23:24:00,0.0240
2023-03-16 23:28:00,0.0239
2023-03-16 23:32:00,0.0243
2023-03-16 23:36:00,0.0244
2023-03-16 23:40:00,0.0242
2023-03-16 23:44:00,0.0244
2023-03-16 23:48:00,0.0245
2023-03-16 23:52:00,0.0241
2023-03-16 23:56:00,0.0236
2023-03-17 00:00:00,0.0242
2023-03-17 00:04:00,0.0238
2023-03-17 00:08:00,0.0240
2023-03-17 00:12:00,0.0241
2023-03-17 00:16:00,0.0242
2023-03-17 00:20:00,0.0239
2023-03-17 00:24:00,0.0243
2023-03-17 00:28:00,0.0244
2023-03-17 00:32:00,0.0243
2023-03-17 00:36:00,0.0558
2023-03-17 00:40:00,0.0245
2023-03-17 00:44:00,0.0238
2023-03-17 00:48:00,0.0239
2023-03-17 00:52:00,0.0244
2023-03-17 00:56:00,0.0243
2023-03-17 01:00:00,0.0243
2023-03-17 01:04:00,0.0241
2023-03-17 01:08:00,0.0242
2023-03-17 01:12:00,0.0243
2023-03-17 01:16:00,0.0243
2023-03-17 01:20:00,0.0245
2023-03-17 01:24:00,0.0244
2023-03-17 01:28:00,0.0243
2023-03-17 01:32:00,0.0242
2023-03-17 01:36:00,0.0242
2023-03-17 01:40:00,0.0241
2023-03-17 01:44:00,0.0243
2023-03-17 01:48:00,0.0243
