"Time","NOERROR","NXDOMAIN","SERVFAIL"
2023-03-22 03:36:00,0.467,0.0750,0
2023-03-22 03:40:00,0.142,0.200,0
2023-03-22 03:44:00,0.108,0.125,0
2023-03-22 03:48:00,0.525,0.250,0
2023-03-22 03:52:00,0.117,0.125,0
2023-03-22 03:56:00,0.367,0.0583,0
2023-03-22 04:00:00,0.783,0.200,0
2023-03-22 04:04:00,0.125,0.142,0
2023-03-22 04:08:00,0.492,0.158,0
2023-03-22 04:12:00,0.117,0.150,0
2023-03-22 04:16:00,0.100,0.0750,0
2023-03-22 04:20:00,0.500,0.183,0
2023-03-22 04:24:00,0.117,0.125,0
2023-03-22 04:28:00,0.508,0.192,0
2023-03-22 04:32:00,0.100,0.0917,0
2023-03-22 04:36:00,0.100,0.0750,0
2023-03-22 04:40:00,0.500,0.183,0
2023-03-22 04:44:00,0.108,0.125,0
2023-03-22 04:48:00,0.525,0.250,0
2023-03-22 04:52:00,0.125,0.142,0
2023-03-22 04:56:00,0.100,0.0750,0
2023-03-22 05:00:00,1.04,0.167,0
2023-03-22 05:04:00,0.108,0.108,0
2023-03-22 05:08:00,0.125,0.158,0
2023-03-22 05:12:00,0.492,0.150,0
2023-03-22 05:16:00,0.0750,0.0417,0
2023-03-22 05:20:00,0.500,0.183,0
2023-03-22 05:24:00,0.117,0.125,0
2023-03-22 05:28:00,0.133,0.175,0
2023-03-22 05:32:00,0.483,0.125,0
2023-03-22 05:36:00,0.100,0.0750,0
2023-03-22 05:40:00,0.517,0.217,0
2023-03-22 05:44:00,0.108,0.125,0
2023-03-22 05:48:00,0.158,0.250,0
2023-03-22 05:52:00,0.483,0.125,0
2023-03-22 05:56:00,0.100,0.0750,0
2023-03-22 06:00:00,0.508,0.200,0
2023-03-22 06:04:00,0.117,0.125,0
2023-03-22 06:08:00,0.133,0.175,0
2023-03-22 06:12:00,0.483,0.133,0
2023-03-22 06:16:00,0.0917,0.0750,0
2023-03-22 06:20:00,0.508,0.200,0
2023-03-22 06:24:00,0.125,0.142,0
2023-03-22 06:28:00,0.125,0.158,0
2023-03-22 06:32:00,0.483,0.125,0
2023-03-22 06:36:00,0.100,0.0750,0
2023-03-22 06:40:00,0.500,0.183,0
2023-03-22 06:44:00,0.100,0.108,0
2023-03-22 06:48:00,0.158,0.250,0
2023-03-22 06:52:00,0.483,0.125,0
2023-03-22 06:56:00,0.0917,0.0583,0
2023-03-22 07:00:00,0.508,0.200,0
2023-03-22 07:04:00,0.117,0.125,0
2023-03-22 07:08:00,0.125,0.158,0
2023-03-22 07:12:00,0.500,0.167,0
2023-03-22 07:16:00,0.0917,0.0750,0
2023-03-22 07:20:00,0.508,0.200,0
2023-03-22 07:24:00,0.117,0.125,0
2023-03-22 07:28:00,0.133,0.175,0
2023-03-22 07:32:00,0.483,0.125,0
2023-03-22 07:36:00,0.108,0.0917,0
2023-03-22 07:40:00,0.508,0.200,0
2023-03-22 07:44:00,0.117,0.125,0
2023-03-22 07:48:00,0.150,0.250,0
2023-03-22 07:52:00,0.483,0.125,0
2023-03-22 07:56:00,0.100,0.0750,0
2023-03-22 08:00:00,0.517,0.217,0
2023-03-22 08:04:00,0.117,0.125,0
2023-03-22 08:08:00,0.125,0.158,0
2023-03-22 08:12:00,0.483,0.133,0
2023-03-22 08:16:00,0.0750,0.0417,0
2023-03-22 08:20:00,0.142,0.200,0
2023-03-22 08:24:00,0.483,0.125,0
2023-03-22 08:28:00,0.133,0.175,0
2023-03-22 08:32:00,0.483,0.125,0
2023-03-22 08:36:00,0.0917,0.0583,0
2023-03-22 08:40:00,0.142,0.200,0
2023-03-22 08:44:00,0.475,0.108,0
2023-03-22 08:48:00,0.150,0.250,0
2023-03-22 08:52:00,0.483,0.125,0
2023-03-22 08:56:00,0.100,0.0750,0
2023-03-22 09:00:00,0.142,0.200,0
2023-03-22 09:04:00,0.475,0.108,0
2023-03-22 09:08:00,0.133,0.175,0
2023-03-22 09:12:00,0.483,0.133,0
2023-03-22 09:16:00,0.0917,0.0750,0
2023-03-22 09:20:00,0.133,0.183,0
2023-03-22 09:24:00,0.475,0.108,0
2023-03-22 09:28:00,0.142,0.192,0
2023-03-22 09:32:00,0.475,0.108,0
2023-03-22 09:36:00,0.0917,0.0583,0
2023-03-22 09:40:00,0.133,0.183,0
2023-03-22 09:44:00,0.475,0.108,0
2023-03-22 09:48:00,0.150,0.250,0
2023-03-22 09:52:00,0.475,0.108,0
2023-03-22 09:56:00,0.100,0.0750,0
2023-03-22 10:00:00,0.142,0.200,0
2023-03-22 10:04:00,0.483,0.125,0
2023-03-22 10:08:00,0.133,0.175,0
2023-03-22 10:12:00,0.483,0.133,0
2023-03-22 10:16:00,0.100,0.0750,0
2023-03-22 10:20:00,0.125,0.183,0
2023-03-22 10:24:00,0.483,0.125,0
2023-03-22 10:28:00,0.133,0.175,0
2023-03-22 10:32:00,0.483,0.125,0
2023-03-22 10:36:00,0.0833,0.0417,0
2023-03-22 10:40:00,0.150,0.217,0
2023-03-22 10:44:00,0.475,0.108,0
2023-03-22 10:48:00,0.150,0.250,0
2023-03-22 10:52:00,0.483,0.125,0
2023-03-22 10:56:00,0.100,0.0750,0
2023-03-22 11:00:00,0.133,0.183,0
2023-03-22 11:04:00,0.483,0.125,0
2023-03-22 11:08:00,0.133,0.175,0
2023-03-22 11:12:00,0.200,0.117,0
2023-03-22 11:16:00,0.925,0.0750,0
2023-03-22 11:20:00,0.133,0.200,0
2023-03-22 11:24:00,0.492,0.142,0
2023-03-22 11:28:00,0.133,0.175,0
2023-03-22 11:32:00,0.117,0.125,0
2023-03-22 11:36:00,0.458,0.0583,0
2023-03-22 11:40:00,0.133,0.183,0
2023-03-22 11:44:00,0.483,0.125,0
2023-03-22 11:48:00,0.150,0.250,0
2023-03-22 11:52:00,0.117,0.125,0
2023-03-22 11:56:00,0.467,0.0750,0
2023-03-22 12:00:00,0.142,0.200,0
2023-03-22 12:04:00,0.475,0.108,0
2023-03-22 12:08:00,0.158,0.250,0
2023-03-22 12:12:00,0.133,0.167,0
2023-03-22 12:16:00,0.192,0.0750,0
2023-03-22 12:20:00,0.125,0.183,0
2023-03-22 12:24:00,0.117,0.125,0
2023-03-22 12:28:00,0.133,0.175,0
2023-03-22 12:32:00,0.117,0.125,0
2023-03-22 12:36:00,0.108,0.0917,0
2023-03-22 12:40:00,0.133,0.183,0
2023-03-22 12:44:00,0.117,0.125,0
2023-03-22 12:48:00,0.150,0.233,0
2023-03-22 12:52:00,0.108,0.125,0
2023-03-22 12:56:00,0.0917,0.0583,0
2023-03-22 13:00:00,0.150,0.217,0
2023-03-22 13:04:00,0.108,0.108,0
2023-03-22 13:08:00,0.133,0.175,0
2023-03-22 13:12:00,0.117,0.133,0
2023-03-22 13:16:00,0.0917,0.0583,0
2023-03-22 13:20:00,0.133,0.200,0
2023-03-22 13:24:00,0.125,0.142,0
2023-03-22 13:28:00,0.125,0.158,0
2023-03-22 13:32:00,0.117,0.125,0
2023-03-22 13:36:00,0.100,0.0750,0
2023-03-22 13:40:00,0.158,0.258,0
2023-03-22 13:44:00,0.125,0.142,0
2023-03-22 13:48:00,0.150,0.233,0
2023-03-22 13:52:00,0.100,0.108,0
2023-03-22 13:56:00,0.100,0.0750,0
2023-03-22 14:00:00,0.133,0.183,0
2023-03-22 14:04:00,0.108,0.108,0
2023-03-22 14:08:00,0.150,0.225,0
2023-03-22 14:12:00,0.117,0.133,0
2023-03-22 14:16:00,0.0917,0.0583,0
2023-03-22 14:20:00,0.125,0.183,0
2023-03-22 14:24:00,0.117,0.125,0
2023-03-22 14:28:00,0.133,0.175,0
2023-03-22 14:32:00,0.125,0.142,0
2023-03-22 14:36:00,0.0917,0.0583,0
2023-03-22 14:40:00,0.142,0.200,0
2023-03-22 14:44:00,0.117,0.125,0
2023-03-22 14:48:00,0.150,0.233,0
2023-03-22 14:52:00,0.108,0.125,0
2023-03-22 14:56:00,0.108,0.0917,0
2023-03-22 15:00:00,0.133,0.183,0
2023-03-22 15:04:00,0.108,0.108,0
2023-03-22 15:08:00,0.125,0.158,0
2023-03-22 15:12:00,0.117,0.133,0
2023-03-22 15:16:00,0.0917,0.0583,0
2023-03-22 15:20:00,0.142,0.217,0
2023-03-22 15:24:00,0.117,0.125,0
2023-03-22 15:28:00,0.117,0.142,0
2023-03-22 15:32:00,0.117,0.125,0
2023-03-22 15:36:00,0.100,0.0750,0
2023-03-22 15:40:00,0.142,0.200,0
2023-03-22 15:44:00,0.108,0.108,0
2023-03-22 15:48:00,0.158,0.250,0
2023-03-22 15:52:00,0.108,0.125,0
2023-03-22 15:56:00,0.0917,0.0583,0
2023-03-22 16:00:00,0.142,0.200,0
2023-03-22 16:04:00,0.125,0.142,0
2023-03-22 16:08:00,0.125,0.158,0
2023-03-22 16:12:00,0.142,0.200,0
2023-03-22 16:16:00,0.100,0.0750,0
2023-03-22 16:20:00,0.125,0.183,0
2023-03-22 16:24:00,0.117,0.125,0
2023-03-22 16:28:00,0.142,0.192,0
2023-03-22 16:32:00,0.117,0.125,0
2023-03-22 16:36:00,0.100,0.0750,0
2023-03-22 16:40:00,0.142,0.200,0
2023-03-22 16:44:00,0.117,0.125,0
2023-03-22 16:48:00,0.150,0.233,0
2023-03-22 16:52:00,0.100,0.108,0
2023-03-22 16:56:00,0.0917,0.0583,0
2023-03-22 17:00:00,0.133,0.183,0
2023-03-22 17:04:00,0.117,0.125,0
2023-03-22 17:08:00,0.133,0.175,0
2023-03-22 17:12:00,0.125,0.150,0
2023-03-22 17:16:00,0.108,0.0917,0
2023-03-22 17:20:00,0.133,0.183,0
2023-03-22 17:24:00,0.0917,0.0917,0
2023-03-22 17:28:00,0.133,0.175,0
2023-03-22 17:32:00,0.108,0.108,0
2023-03-22 17:36:00,0.1000,0.0750,0
2023-03-22 17:40:00,0.142,0.200,0
2023-03-22 17:44:00,0.108,0.108,0
2023-03-22 17:48:00,0.158,0.250,0
2023-03-22 17:52:00,0.108,0.125,0
2023-03-22 17:56:00,0.100,0.0750,0
2023-03-22 18:00:00,0.142,0.200,0
2023-03-22 18:04:00,0.117,0.125,0
2023-03-22 18:08:00,0.125,0.158,0
2023-03-22 18:12:00,0.117,0.133,0
2023-03-22 18:16:00,0.100,0.0750,0
2023-03-22 18:20:00,0.142,0.200,0
2023-03-22 18:24:00,0.100,0.108,0
2023-03-22 18:28:00,0.133,0.175,0
2023-03-22 18:32:00,0.108,0.108,0
2023-03-22 18:36:00,0.100,0.0750,0
2023-03-22 18:40:00,0.133,0.183,0
2023-03-22 18:44:00,0.108,0.108,0
2023-03-22 18:48:00,0.158,0.250,0
2023-03-22 18:52:00,0.100,0.108,0
2023-03-22 18:56:00,0.0917,0.0583,0
2023-03-22 19:00:00,0.133,0.183,0
2023-03-22 19:04:00,0.108,0.108,0
2023-03-22 19:08:00,0.133,0.175,0
2023-03-22 19:12:00,0.133,0.167,0
2023-03-22 19:16:00,0.0917,0.0583,0
2023-03-22 19:20:00,0.113,0.175,0.0417
2023-03-22 19:24:00,0.0917,0.150,0.0500
2023-03-22 19:28:00,0.100,0.158,0.0458
2023-03-22 19:32:00,0.100,0.133,0.0333
2023-03-22 19:36:00,0.100,0.0750,0
2023-03-22 19:40:00,0.133,0.183,0
2023-03-22 19:44:00,0.100,0.133,0.0333
2023-03-22 19:48:00,0.150,0.233,0
2023-03-22 19:52:00,0.967,0.108,0
2023-03-22 19:56:00,0.108,0.0917,0
2023-03-22 20:00:00,0.133,0.183,0
2023-03-22 20:04:00,0.483,0.125,0
2023-03-22 20:08:00,0.125,0.158,0
2023-03-22 20:12:00,0.217,0.150,0
2023-03-22 20:16:00,0.925,0.0750,0
2023-03-22 20:20:00,0.142,0.200,0
2023-03-22 20:24:00,0.475,0.125,0
2023-03-22 20:28:00,0.133,0.175,0
2023-03-22 20:32:00,0.117,0.125,0
2023-03-22 20:36:00,0.458,0.0583,0
2023-03-22 20:40:00,0.142,0.200,0
2023-03-22 20:44:00,0.483,0.125,0
2023-03-22 20:48:00,0.158,0.250,0
2023-03-22 20:52:00,0.117,0.125,0
2023-03-22 20:56:00,0.450,0.0583,0
2023-03-22 21:00:00,0.142,0.200,0
2023-03-22 21:04:00,0.483,0.125,0
2023-03-22 21:08:00,0.142,0.192,0
2023-03-22 21:12:00,0.117,0.133,0
2023-03-22 21:16:00,0.467,0.0750,0
2023-03-22 21:20:00,0.133,0.183,0
2023-03-22 21:24:00,0.475,0.125,0
2023-03-22 21:28:00,0.125,0.158,0
2023-03-22 21:32:00,0.125,0.142,0
2023-03-22 21:36:00,0.458,0.0583,0
2023-03-22 21:40:00,0.142,0.200,0
2023-03-22 21:44:00,0.117,0.125,0
2023-03-22 21:48:00,0.525,0.250,0
2023-03-22 21:52:00,0.108,0.108,0
2023-03-22 21:56:00,0.467,0.0917,0
2023-03-22 22:00:00,0.142,0.200,0
2023-03-22 22:04:00,0.117,0.125,0
2023-03-22 22:08:00,0.517,0.225,0
2023-03-22 22:12:00,0.125,0.150,0
2023-03-22 22:16:00,0.458,0.0583,0
2023-03-22 22:20:00,0.150,0.217,0
2023-03-22 22:24:00,0.108,0.125,0
2023-03-22 22:28:00,0.500,0.175,0
2023-03-22 22:32:00,0.108,0.108,0
2023-03-22 22:36:00,0.467,0.0750,0
2023-03-22 22:40:00,0.133,0.183,0
2023-03-22 22:44:00,0.125,0.142,0
2023-03-22 22:48:00,0.525,0.250,0
2023-03-22 22:52:00,0.117,0.125,0
2023-03-22 22:56:00,0.458,0.0750,0
2023-03-22 23:00:00,0.133,0.183,0
2023-03-22 23:04:00,0.108,0.108,0
2023-03-22 23:08:00,0.492,0.158,0
2023-03-22 23:12:00,0.117,0.133,0
2023-03-22 23:16:00,0.375,0.0750,0
2023-03-22 23:20:00,0.783,0.200,0
2023-03-22 23:24:00,0.117,0.125,0
2023-03-22 23:28:00,0.492,0.175,0
2023-03-22 23:32:00,0.108,0.108,0
2023-03-22 23:36:00,0.100,0.0750,0
2023-03-22 23:40:00,0.500,0.183,0
2023-03-22 23:44:00,0.108,0.108,0
2023-03-22 23:48:00,0.517,0.233,0
2023-03-22 23:52:00,0.117,0.125,0
2023-03-22 23:56:00,0.0917,0.0750,0
2023-03-23 00:00:00,0.500,0.183,0
2023-03-23 00:04:00,0.117,0.125,0
2023-03-23 00:08:00,0.492,0.158,0
2023-03-23 00:12:00,0.133,0.167,0
2023-03-23 00:16:00,0.0917,0.0583,0
2023-03-23 00:20:00,0.500,0.183,0
2023-03-23 00:24:00,0.108,0.108,0
2023-03-23 00:28:00,0.492,0.175,0
2023-03-23 00:32:00,0.108,0.108,0
2023-03-23 00:36:00,0.100,0.0750,0
2023-03-23 00:40:00,0.492,0.167,0
2023-03-23 00:44:00,0.108,0.108,0
2023-03-23 00:48:00,0.517,0.233,0
2023-03-23 00:52:00,0.117,0.125,0
2023-03-23 00:56:00,0.0833,0.0583,0
2023-03-23 01:00:00,0.500,0.183,0
2023-03-23 01:04:00,0.117,0.125,0
2023-03-23 01:08:00,0.483,0.142,0
2023-03-23 01:12:00,0.125,0.150,0
2023-03-23 01:16:00,0.100,0.0750,0
2023-03-23 01:20:00,0.508,0.200,0
2023-03-23 01:24:00,0.125,0.142,0
2023-03-23 01:28:00,0.475,0.142,0
2023-03-23 01:32:00,0.108,0.108,0
2023-03-23 01:36:00,0.100,0.0750,0
2023-03-23 01:40:00,0.500,0.183,0
2023-03-23 01:44:00,0.108,0.108,0
2023-03-23 01:48:00,0.158,0.250,0
2023-03-23 01:52:00,0.483,0.125,0
2023-03-23 01:56:00,0.0917,0.0750,0
2023-03-23 02:00:00,0.500,0.183,0
2023-03-23 02:04:00,0.117,0.125,0
2023-03-23 02:08:00,0.133,0.175,0
2023-03-23 02:12:00,0.492,0.150,0
2023-03-23 02:16:00,0.100,0.0750,0
2023-03-23 02:20:00,0.508,0.200,0
2023-03-23 02:24:00,0.108,0.108,0
2023-03-23 02:28:00,0.117,0.158,0

